evidence_id,timeline_record_id,video_id,relative_path,master_or_derivative,file_role,sha256,size_bytes,mime_type,source_video,timestamp,verification_state,notes
phase0-frame-video-002-tl-013,phase0-video-002-tl-013,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_010/CF27_XBOXUNKNOWN_RTG_HEAD_010_MENU_video-002_81p52s.png,derivative,existing_research_derivative,54263393776dffc1d3820708db20c5405f80ead7d10de993db2ebabdd0a0df1e,1335601,image/png,02_Head_Templates_Faces_01-12.mov,81.52,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-014,phase0-video-002-tl-014,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_011/CF27_XBOXUNKNOWN_RTG_HEAD_011_MENU_video-002_90p04s.png,derivative,existing_research_derivative,b48aa746c0b0fd7c27e73b89aba0eba232543f22f2bc3be9174541acb2375103,1383894,image/png,02_Head_Templates_Faces_01-12.mov,90.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-015,phase0-video-002-tl-015,phase0-video-002,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_012/CF27_XBOXUNKNOWN_RTG_HEAD_012_MENU_video-002_96p04s.png,derivative,existing_research_derivative,168bba87bd943d435e24302388dc2ed4471c0c49a627bdc902224675936ac836,1433249,image/png,02_Head_Templates_Faces_01-12.mov,96.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-002-tl-016,phase0-video-002-tl-016,phase0-video-002,data/phase-zero/derivative-frames/video-002-tl-016_02-head-templates-faces-01-12-mov_104p9s.png,derivative,phase_zero_timeline_derivative,6b192b571c7882f6a65dd5c9ccdfada098e12f9473c889590b0e34733c0be77d,1284627,image/png,02_Head_Templates_Faces_01-12.mov,104.9,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-003-tl-001,phase0-video-003-tl-001,phase0-video-003,data/phase-zero/derivative-frames/video-003-tl-001_03-head-templates-faces-12-29-mov_2s.png,derivative,phase_zero_timeline_derivative,e89782272b1839763586a70b0e9f1e16b66c4896164e7a3472a99306d86c0509,1187326,image/png,03_Head_Templates_Faces_12-29.mov,2,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-003-tl-002,phase0-video-003-tl-002,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_016/CF27_XBOXUNKNOWN_RTG_HEAD_016_MENU_video-003_7p20s.png,derivative,existing_research_derivative,c5416bb1230e07a953fa69d82f2b4941e4c238bd5339a83179acb770d1c32766,1370182,image/png,03_Head_Templates_Faces_12-29.mov,7.2,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-003,phase0-video-003-tl-003,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_015/CF27_XBOXUNKNOWN_RTG_HEAD_015_MENU_video-003_14p04s.png,derivative,existing_research_derivative,51842496e1b0ab17a39c9c4dd0443c8fa5d660a8681d3b740bc5bc250c70ec8f,1441316,image/png,03_Head_Templates_Faces_12-29.mov,14.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-004,phase0-video-003-tl-004,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_013/CF27_XBOXUNKNOWN_RTG_HEAD_013_MENU_video-003_28p04s.png,derivative,existing_research_derivative,94e33e72eaee624956bd9ee666115b63df7e434c314f4199e8c634079ad21d5a,1378046,image/png,03_Head_Templates_Faces_12-29.mov,28.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-005,phase0-video-003-tl-005,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_017/CF27_XBOXUNKNOWN_RTG_HEAD_017_MENU_video-003_34p20s.png,derivative,existing_research_derivative,407e9617295f52ea45f36691b987116dedf127a4590b2c5337ae0e9ae4ac129a,1447454,image/png,03_Head_Templates_Faces_12-29.mov,34.2,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-006,phase0-video-003-tl-006,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_018/CF27_XBOXUNKNOWN_RTG_HEAD_018_MENU_video-003_41p36s.png,derivative,existing_research_derivative,6b3b1bed4499bf07a254f0d8fe2f1f30919746011f397bfef23551e2ecb0cf40,1535559,image/png,03_Head_Templates_Faces_12-29.mov,41.36,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-007,phase0-video-003-tl-007,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_023/CF27_XBOXUNKNOWN_RTG_HEAD_023_MENU_video-003_57p20s.png,derivative,existing_research_derivative,543882c20821349928e3eb65b36d4cfb94d20fbb4568a0c7ea193d41c6d653d4,1289552,image/png,03_Head_Templates_Faces_12-29.mov,57.2,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-008,phase0-video-003-tl-008,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_024/CF27_XBOXUNKNOWN_RTG_HEAD_024_MENU_video-003_63p88s.png,derivative,existing_research_derivative,2dbd6f66cb8ee70a15bd788ea8d034213bc47bac3a4c31367e5cade6b1a8b468,1553416,image/png,03_Head_Templates_Faces_12-29.mov,63.88,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-009,phase0-video-003-tl-009,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_022/CF27_XBOXUNKNOWN_RTG_HEAD_022_MENU_video-003_76p72s.png,derivative,existing_research_derivative,a6ece7308275792c2fa20dbe7180e0e6280fa14408abf7c4c565a95cc07b2012,1434072,image/png,03_Head_Templates_Faces_12-29.mov,76.72,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
