view_id,source_media_id,source_timestamp,view_label,source_frame_path,crop_path,pose_estimate,blur_quality,exposure_quality,occlusion_quality,face_visibility_quality,review_status,production_status
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000155p000_874AEA42,GFM_MEDIA_FC26_6AB6BFCA771C,00:01:55.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000155p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000200p000_053C60B4,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:00.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000200p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000205p000_2AAC7A14,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:05.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000205p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000210p000_AF2678CC,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:10.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000210p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000215p000_B7A22685,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:15.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000215p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000220p000_81BD7D15,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:20.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000220p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000225p000_D27B2238,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:25.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000225p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000230p000_40E0AA8A,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:30.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000230p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000235p000_A528AFB7,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:35.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000235p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000240p000_A0CA80C9,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:40.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000240p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000245p000_1C676FA0,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:45.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000245p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000250p000_224E8669,GFM_MEDIA_FC26_6AB6BFCA771C,00:02:50.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000250p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000300p000_3AFE7617,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:00.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000300p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000305p000_11407917,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:05.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000305p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000310p000_A85398CD,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:10.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000310p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000315p000_465C54D5,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:15.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000315p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000320p000_74E3F8C8,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:20.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000320p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000325p000_66AAB4F3,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:25.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000325p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000330p000_F0938E45,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:30.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000330p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000335p000_F50C2435,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:35.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000335p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000340p000_E136B367,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:40.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000340p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000350p000_2A556624,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:50.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000350p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000355p000_FB808393,GFM_MEDIA_FC26_6AB6BFCA771C,00:03:55.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000355p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000400p000_572D7F59,GFM_MEDIA_FC26_6AB6BFCA771C,00:04:00.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000400p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_6AB6BFCA771C_TIMESTAMPED_FRAME_000400p480_1E701E30,GFM_MEDIA_FC26_6AB6BFCA771C,00:04:00.480,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_6AB6BFCA771C/frames/GFM_MEDIA_FC26_6AB6BFCA771C_FRAME_000400p480.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
VIEW_ART_GFM_MEDIA_FC26_0C758EB69716_TIMESTAMPED_FRAME_000000p000_44CD2AB9,GFM_MEDIA_FC26_0C758EB69716,00:00:00.000,MENU,build-artifacts/source-media-ingestion/GFM_MEDIA_INGEST_20260802_191500/fc26/GFM_MEDIA_FC26_0C758EB69716/frames/GFM_MEDIA_FC26_0C758EB69716_FRAME_000000p000.png,,,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NEEDS_HUMAN_VIEW_REVIEW,NOT_PRODUCTION_DATA
